mccf version: 1.0
sender: Titulización de Activos
phone: +34 917020808
autorelease: replace
new flow:
cusip: ES0377991015
prepay speed: 5.0
prepay type: CPR
first payment date: 29/12/2025
dated date: 01/09/2025
frequency: 04
call date: 26/06/2036
assumed collateral: no
vectors: balances interests
01/09/2025	9349713.0	0.0
29/12/2025	8615580.0	54515.0
26/03/2026	7904264.0	46493.0
26/06/2026	7214553.0	45106.0
28/09/2026	6546452.0	42065.0
28/12/2026	5898768.0	36952.0
26/03/2027	5274562.0	32198.0
28/06/2027	4674621.0	30754.0
27/09/2027	4098817.0	26386.0
27/12/2027	3551574.0	23136.0
27/03/2028	3033081.0	20047.0
26/06/2028	2546349.0	17120.0
26/09/2028	2113173.0	14531.0
26/12/2028	1756771.0	11928.0
26/03/2029	1480284.0	9807.0
26/06/2029	1274693.0	8447.0
26/09/2029	1123197.0	7274.0
26/12/2029	981159.0	6340.0
26/03/2030	847586.0	5477.0
26/06/2030	723121.0	4837.0
26/09/2030	607461.0	4127.0
26/12/2030	498120.0	3429.0
26/03/2031	394551.0	2781.0
26/06/2031	304920.0	2252.0
26/09/2031	234800.0	1740.0
26/12/2031	181359.0	1325.0
26/03/2032	147521.0	1024.0
28/06/2032	128598.0	860.0
27/09/2032	113155.0	726.0
27/12/2032	99268.0	639.0
28/03/2033	86938.0	560.0
27/06/2033	76088.0	491.0
26/09/2033	65649.0	429.0
26/12/2033	55883.0	371.0
27/03/2034	46703.0	315.0
26/06/2034	38398.0	264.0
26/09/2034	30805.0	219.0
26/12/2034	23954.0	174.0
26/03/2035	17992.0	134.0
26/06/2035	12760.0	103.0
26/09/2035	8146.0	73.0
26/12/2035	4078.0	46.0
26/03/2036	924.0	23.0
26/06/2036	0.0	5.0
new flow:
cusip: ES0377991015
prepay speed: 6.800000000000001
prepay type: CPR
first payment date: 29/12/2025
dated date: 01/09/2025
frequency: 04
call date: 26/06/2036
assumed collateral: no
vectors: balances interests
01/09/2025	9349713.0	0.0
29/12/2025	8574476.0	54515.0
26/03/2026	7829023.0	46271.0
26/06/2026	7111786.0	44677.0
28/09/2026	6422414.0	41466.0
28/12/2026	5759393.0	36251.0
26/03/2027	5125366.0	31437.0
28/06/2027	4520724.0	29884.0
27/09/2027	3944965.0	25517.0
27/12/2027	3401955.0	22267.0
27/03/2028	2891444.0	19202.0
26/06/2028	2415860.0	16321.0
26/09/2028	1995318.0	13786.0
26/12/2028	1650878.0	11263.0
26/03/2029	1384421.0	9216.0
26/06/2029	1186456.0	7900.0
26/09/2029	1040459.0	6771.0
26/12/2029	904548.0	5873.0
26/03/2030	777677.0	5050.0
26/06/2030	660313.0	4438.0
26/09/2030	552052.0	3768.0
26/12/2030	450525.0	3116.0
26/03/2031	355149.0	2515.0
26/06/2031	273159.0	2027.0
26/09/2031	209339.0	1559.0
26/12/2031	160923.0	1182.0
26/03/2032	130272.0	908.0
28/06/2032	113021.0	760.0
27/09/2032	98973.0	638.0
27/12/2032	86413.0	559.0
28/03/2033	75319.0	488.0
27/06/2033	65604.0	425.0
26/09/2033	56334.0	370.0
26/12/2033	47725.0	318.0
27/03/2034	39694.0	269.0
26/06/2034	32480.0	224.0
26/09/2034	25933.0	185.0
26/12/2034	20070.0	146.0
26/03/2035	15002.0	112.0
26/06/2035	10589.0	86.0
26/09/2035	6728.0	60.0
26/12/2035	3352.0	38.0
26/03/2036	756.0	19.0
26/06/2036	0.0	4.0
new flow:
cusip: ES0377991015
prepay speed: 10.0
prepay type: CPR
first payment date: 29/12/2025
dated date: 01/09/2025
frequency: 04
call date: 26/06/2036
assumed collateral: no
vectors: balances interests
01/09/2025	9349713.0	0.0
29/12/2025	8499909.0	54515.0
26/03/2026	7693446.0	45869.0
26/06/2026	6927853.0	43903.0
28/09/2026	6201902.0	40394.0
28/12/2026	5513279.0	35007.0
26/03/2027	4863678.0	30094.0
28/06/2027	4252600.0	28358.0
27/09/2027	3678717.0	24004.0
27/12/2027	3144766.0	20765.0
27/03/2028	2649606.0	17751.0
26/06/2028	2194547.0	14956.0
26/09/2028	1796767.0	12523.0
26/12/2028	1473674.0	10142.0
26/03/2029	1225071.0	8227.0
26/06/2029	1040762.0	6991.0
26/09/2029	904756.0	5939.0
26/12/2029	779731.0	5107.0
26/03/2030	664537.0	4353.0
26/06/2030	559340.0	3792.0
26/09/2030	463567.0	3192.0
26/12/2030	375023.0	2617.0
26/03/2031	293060.0	2094.0
26/06/2031	223444.0	1672.0
26/09/2031	169750.0	1275.0
26/12/2031	129355.0	958.0
26/03/2032	103807.0	730.0
28/06/2032	89277.0	605.0
27/09/2032	77501.0	504.0
27/12/2032	67077.0	437.0
28/03/2033	57957.0	379.0
27/06/2033	50042.0	327.0
26/09/2033	42597.0	282.0
26/12/2033	35774.0	240.0
27/03/2034	29495.0	202.0
26/06/2034	23925.0	166.0
26/09/2034	18936.0	137.0
26/12/2034	14527.0	107.0
26/03/2035	10765.0	81.0
26/06/2035	7532.0	61.0
26/09/2035	4744.0	43.0
26/12/2035	2343.0	27.0
26/03/2036	524.0	13.0
26/06/2036	-0.0	3.0
